chr7	4062994	4063336	RE_1-2	1000	+	4062994	4063336	255	chr7	4062819	4063107	IRF1:BMDC	1	.	4062881	4062882	28,224,28
chr7	4062994	4063336	RE_1-2	1000	+	4062994	4063336	255	chr7	4062847	4063100	TERF2:testis	1	.	4062965	4062966	224,56,28
chr7	4062994	4063336	RE_1-2	1000	+	4062994	4063336	255	chr7	4062868	4063066	CEBPA:hematopoietic-progenitor	1	.	4062974	4062975	112,28,28
chr7	4062994	4063336	RE_1-2	1000	+	4062994	4063336	255	chr7	4062868	4063130	MEN1:CD4	1	.	4063067	4063068	238,189,42
chr7	4062994	4063336	RE_1-2	1000	+	4062994	4063336	255	chr7	4062917	4063124	IRF9:BMDM	1	.	4063020	4063021	140,196,252
chr7	4062994	4063336	RE_1-2	1000	+	4062994	4063336	255	chr7	4062924	4063203	CLOCK:liver	1	.	4063100	4063101	168,252,224
chr7	4062994	4063336	RE_1-2	1000	+	4062994	4063336	255	chr7	4062929	4063123	SMAD3:BMDM	1	.	4063069	4063070	140,112,56
chr7	4062994	4063336	RE_1-2	1000	+	4062994	4063336	255	chr7	4062947	4063200	CTCF:bone-marrow,thymus,intestine,small-intestine,spleen,primary-B-cell,primary-T-cell,pro-B-cell	11	.	4063064	4063065	252,140,56
chr7	4062994	4063336	RE_1-2	1000	+	4062994	4063336	255	chr7	4062972	4063137	GATA2:G1E-ER4	1	.	4063093	4063094	56,168,196
chr7	4062994	4063336	RE_1-2	1000	+	4062994	4063336	255	chr7	4062975	4063169	HCFC1:BMDM	1	.	4063062	4063063	84,56,56
chr7	4062994	4063336	RE_1-2	1000	+	4062994	4063336	255	chr7	4063016	4063156	KLF4:mESC	1	.	4063066	4063067	140,252,196
chr7	4062994	4063336	RE_1-2	1000	+	4062994	4063336	255	chr7	4063022	4063219	GATA6:pancreas	1	.	4063086	4063087	224,224,224
chr7	4062994	4063336	RE_1-2	1000	+	4062994	4063336	255	chr7	4063024	4063173	TET1:embryonic-carcinoma	1	.	4063066	4063067	67,5,15
chr7	4062994	4063336	RE_1-2	1000	+	4062994	4063336	255	chr7	4063046	4063228	DNMT3B:mESC	1	.	4063079	4063080	116,112,54
chr7	4062994	4063336	RE_1-2	1000	+	4062994	4063336	255	chr7	4063058	4063201	CEBPA:pre-B-cell,bone-marrow	2	.	4063088	4063089	112,28,28
chr7	4062994	4063336	RE_1-2	1000	+	4062994	4063336	255	chr7	4063064	4063217	BATF:Th17	1	.	4063159	4063160	252,56,168
chr7	4062994	4063336	RE_1-2	1000	+	4062994	4063336	255	chr7	4063144	4063198	VDR:macrophage	1	.	4063173	4063174	84,56,252
chr7	4062994	4063336	RE_1-2	1000	+	4062994	4063336	255	chr7	4063234	4063459	SETDB1:pro-B-cell	1	.	4063371	4063372	28,28,56
chr7	4062994	4063336	RE_1-2	1000	+	4062994	4063336	255	chr7	4063253	4063582	NLRC5:T-cell	1	.	4063474	4063475	89,137,128
chr7	4062994	4063336	RE_1-2	1000	+	4062994	4063336	255	chr7	4063254	4063474	CTCF:lymphoma	1	.	4063359	4063360	252,140,56
chr7	4062994	4063336	RE_1-2	1000	+	4062994	4063336	255	chr7	4063259	4063667	CBFB:CD8	1	.	4063537	4063538	252,224,28
chr7	4062994	4063336	RE_1-2	1000	+	4062994	4063336	255	chr7	4063291	4064398	TBX5:MEF	1	.	4064162	4064163	80,192,99
chr7	4062994	4063336	RE_1-2	1000	+	4062994	4063336	255	chr7	4063310	4063544	CEBPB:BMDM	1	.	4063343	4063344	196,112,112
chr7	4062994	4063336	RE_1-2	1000	+	4062994	4063336	255	chr7	4063319	4063494	GATA1:G1E,G1E-ER4	3	.	4063405	4063406	252,28,28
chr7	4062994	4063336	RE_1-2	1000	+	4062994	4063336	255	chr7	4062477	4063464	SREBF1:macrophage	1	.	4063047	4063048	168,252,252
chr7	4062994	4063336	RE_1-2	1000	+	4062994	4063336	255	chr7	4062708	4063545	CBFB:thymocyte	1	.	4062885	4062886	252,224,28
chr7	4062994	4063336	RE_1-2	1000	+	4062994	4063336	255	chr7	4062709	4063382	MTA2:thymus	1	.	4063249	4063250	56,84,196
chr7	4062994	4063336	RE_1-2	1000	+	4062994	4063336	255	chr7	4062758	4063415	ASXL1:bone-marrow	2	.	4063149	4063150	84,112,112
chr7	4062994	4063336	RE_1-2	1000	+	4062994	4063336	255	chr7	4062773	4063346	HDAC2:B-cell,BMDM	3	.	4063205	4063206	84,168,56
chr7	4062994	4063336	RE_1-2	1000	+	4062994	4063336	255	chr7	4062795	4063516	IKZF1:pro-B-cell	1	.	4063454	4063455	56,252,196
